"","X","date","new_cases","mod_fit_res","fit_mean","fit_0.025","fit_0.975"
"1",1,2020-02-21,17,19.2040652691142,92.2939186119172,76.7960611020237,134.746696702527
"2",2,2020-02-22,42,20.0806848325574,110.374388838692,93.6454407273974,149.090881364735
"3",3,2020-02-23,93,28.4347378444955,149.345409232601,134.015226230743,192.320721116586
"4",4,2020-02-24,74,50.4633052768616,173.457453230423,158.195079852478,221.379508100808
"5",5,2020-02-25,93,91.1645683087212,196.46182631471,182.300367211144,240.857223577912
"6",6,2020-02-26,131,170.238821127626,227.146554242089,209.969727372638,269.133103227263
"7",7,2020-02-27,202,250.274647094279,264.430211616831,248.240146163388,304.07522081247
"8",8,2020-02-28,233,293.689146786336,301.39024941779,283.262006667279,339.519587318493
"9",9,2020-02-29,240,358.355383767776,388.560966797906,367.031723895716,427.252765587348
"10",10,2020-03-01,566,409.944625658252,485.46680795067,463.531334646689,525.037431323818
"11",11,2020-03-02,342,447.685555381102,603.052093159426,573.871093581747,638.291656964502
"12",12,2020-03-03,466,539.708701426217,668.870468359805,638.979867925515,697.287319533833
"13",13,2020-03-04,587,621.42133860193,765.137317526078,723.854913891414,794.350811643115
"14",14,2020-03-05,769,655.704924365967,917.394676513369,847.302426181496,963.682184119933
"15",15,2020-03-06,778,845.156183342173,1069.33012414914,1001.35338083512,1115.33009530153
"16",16,2020-03-07,1247,1145.82518987497,1284.5544484917,1216.86942553849,1335.05359255438
"17",17,2020-03-08,1492,1445.44420080854,1504.82698504831,1434.91195144602,1556.12391430287
"18",18,2020-03-09,1797,1601.32732160484,1685.3705545009,1615.20338433429,1735.82757038224
"19",19,2020-03-10,977,1585.59973079823,1891.73126810133,1820.87524835152,1941.35820776936
"20",20,2020-03-11,2313,1755.45442516644,2139.8117359497,2068.72933538389,2190.10430759196
"21",21,2020-03-12,2651,2297.25604268912,2449.99596829195,2379.24256649971,2504.47773283701
"22",22,2020-03-13,2547,3020.4690099108,2793.38227225885,2722.32384231108,2850.92069247102
"23",23,2020-03-14,3497,3405.6214103805,3169.92437455952,3098.92646260831,3238.03109021881
"24",24,2020-03-15,3590,3518.36670005072,3451.24672192248,3378.1102709683,3522.10519733611
"25",25,2020-03-16,3233,3453.95315392303,3673.49579567735,3599.85487236024,3746.8230463216
"26",26,2020-03-17,3526,3482.25014317245,3897.99479929144,3830.47688190645,3976.74230085235
"27",27,2020-03-18,4207,4097.74370373539,4177.83619304499,4107.45667878651,4255.60507195412
"28",28,2020-03-19,5322,5491.98958364593,4493.25201712283,4433.99979868777,4573.48573418889
"29",29,2020-03-20,5986,6132.78263861247,4723.94719865616,4692.03006640685,4792.34272889526
"30",30,2020-03-21,6557,5918.45310078521,4956.78504785628,4922.8812492096,5025.36970031549
"31",31,2020-03-22,5560,5683.67985290663,5076.75109905716,5037.52414107152,5142.04939032161
"32",32,2020-03-23,4789,5190.70281973995,5112.99445886258,5077.59150946917,5178.47824015178
"33",33,2020-03-24,5249,5161.26287163988,5168.37579345672,5127.46096296672,5231.45085050403
"34",34,2020-03-25,5210,5461.38219140735,5256.14285963492,5216.12249545901,5315.76580615755
"35",35,2020-03-26,6203,5866.14673733943,5294.85348942291,5243.54296192682,5354.40287204123
"36",36,2020-03-27,5909,5895.38640755242,5250.63664854929,5198.7636994116,5306.38328269895
"37",37,2020-03-28,5974,5673.75740427175,5179.44386996178,5119.83351760972,5233.46905592185
"38",38,2020-03-29,5217,5127.62832732753,5036.32758162402,4978.9722276775,5078.81556077457
"39",39,2020-03-30,4050,4636.67621781479,4911.31628973719,4856.7348104621,4950.62295962208
"40",40,2020-03-31,4053,4248.90556426885,4796.91525097465,4742.8991219731,4831.4225244408
"41",41,2020-04-01,4782,4366.26228415334,4704.16853701698,4651.4924927766,4732.08638408954
"42",42,2020-04-02,4668,4694.06019373037,4637.17869383339,4584.48681688935,4666.8665759197
"43",43,2020-04-03,4585,4678.66108222435,4486.78763418301,4434.31348301219,4509.70563531368
"44",44,2020-04-04,4805,4512.94036331675,4405.37294716114,4353.9781963306,4427.3272248044
"45",45,2020-04-05,4316,4123.44491006335,4280.75474363076,4228.84166940173,4303.35698414349
"46",46,2020-04-06,3599,3794.33838004289,4135.24312699443,4086.72466109254,4163.68079325342
"47",47,2020-04-07,3039,3750.70785808205,4061.086655967,4009.08290592902,4098.93388521332
"48",48,2020-04-08,3836,3684.82125919656,3969.07967620867,3921.46328112701,4009.6851286562
"49",49,2020-04-09,4204,4011.64548281426,3899.38169933013,3841.75743404889,3938.72863775662
"50",50,2020-04-10,3951,4268.05781539044,3808.37709051479,3757.6283997147,3859.00945255489
"51",51,2020-04-11,4694,4089.08289355226,3738.10964684724,3682.4283635565,3790.64014499727
"52",52,2020-04-12,4092,3808.85531098445,3617.91349422974,3568.120663485,3671.3371722038
"53",53,2020-04-13,3153,3501.96704968548,3482.77475299584,3431.06292784742,3536.91981321419
"54",54,2020-04-14,2972,3320.82753281752,3423.86395470709,3369.86321216678,3478.36390450155
"55",55,2020-04-15,2667,3200.17901714626,3440.85963452222,3381.60293162152,3495.51136803575
"56",56,2020-04-16,3786,3099.77156701917,3368.57473357983,3306.87585130253,3428.43372883028
"57",57,2020-04-17,3493,3167.16497891807,3287.82250842633,3227.12963923261,3348.32393449099
"58",58,2020-04-18,3491,3207.14801175403,3181.25147835494,3119.8497747683,3242.14823018048
"59",59,2020-04-19,3047,3091.07445274264,3023.0742098366,2960.13747474127,3078.95388728729
